State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,05/04/2025,800,2650,1650
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Amruthapani,Large,05/04/2025,2600,3200,2700
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Bhushavali(Pacha),Large,05/04/2025,1900,2400,2200
"Andhra Pradesh",Krishna,Mylavaram,Maize,"Deshi Red",FAQ,05/04/2025,2225,2225,2225
Bihar,Banka,Barahat,Onion,Medium,FAQ,05/04/2025,2600,3000,2800
Bihar,Rohtas,"Kochas (Balthari)",Onion,Medium,FAQ,05/04/2025,2300,2500,2400
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,05/04/2025,800,1000,900
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,05/04/2025,800,1200,1000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,05/04/2025,400,1200,1000
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,05/04/2025,5250,7325,7000
Gujarat,Amreli,Babra,Wheat,Other,FAQ,05/04/2025,2300,2850,2575
Gujarat,Amreli,Bagasara,"Bengal Gram(Gram)(Whole)","Average (Whole)",Non-FAQ,05/04/2025,3000,5505,4252
Gujarat,Amreli,Damnagar,"Bhindi(Ladies Finger)",Bhindi,FAQ,05/04/2025,4250,5050,4800
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,05/04/2025,2200,3050,2750
Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",FAQ,05/04/2025,4250,5050,4600
Gujarat,Amreli,Savarkundla,"Corriander seed","Medium Green",FAQ,05/04/2025,6750,8030,7050
Gujarat,Anand,"Anand(Veg,Yard,Anand)","Bhindi(Ladies Finger)",Bhindi,FAQ,05/04/2025,2500,3500,3000
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cauliflower,Cauliflower,FAQ,05/04/2025,1000,1250,1150
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Ginger(Green),"Green Ginger",FAQ,05/04/2025,2500,3000,2700
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,05/04/2025,6800,7200,7000
Gujarat,Bharuch,Jambusar,Wheat,Other,FAQ,05/04/2025,3000,3400,3200
Gujarat,Bharuch,Jambusar(Kaavi),"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,05/04/2025,6800,7300,7100
Gujarat,"Chhota Udaipur","Modasar        ",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,05/04/2025,7000,7450,7200
Gujarat,Dahod,Devgadhbaria,Paddy(Dhan)(Common),Common,Non-FAQ,05/04/2025,1600,1620,1610
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bhindi(Ladies Finger)",Other,FAQ,05/04/2025,4500,5000,4500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bitter gourd",Other,FAQ,05/04/2025,4000,4000,4000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Lemon,Other,FAQ,05/04/2025,12500,12500,12500
Gujarat,"Gir Somnath",Veraval,Soyabean,Other,FAQ,05/04/2025,4060,4255,4200
Gujarat,"Gir Somnath",Veraval,Wheat,"Medium Fine",FAQ,05/04/2025,2375,2605,2500
Gujarat,Junagarh,Mangrol,"Bengal Gram(Gram)(Whole)","Desi (F.A.Q. Split)",FAQ,05/04/2025,5250,5500,5450
Gujarat,Junagarh,Mangrol,Groundnut,G20,FAQ,05/04/2025,5500,5525,5515
Gujarat,Junagarh,Mangrol,Wheat,Lok-1,FAQ,05/04/2025,2500,2550,2530
Gujarat,Junagarh,Visavadar,Onion,Onion,FAQ,05/04/2025,425,1055,740
Gujarat,Junagarh,Visavadar,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,05/04/2025,7500,9500,8500
Gujarat,Narmada,Rajpipla,Cotton,"Cotton (Unginned)",FAQ,05/04/2025,6825,7425,7221
Gujarat,Rajkot,Dhoraji,"Bengal Gram(Gram)(Whole)",Bold,Non-FAQ,05/04/2025,4605,5555,5380
